image,slices_full,slices_fk,time_full,time_fk,tp_full,fp_full,fn_full,precision_full,recall_full,tp_fk,fp_fk,fn_fk,precision_fk,recall_fk,empty_removed,obj_removed,filter_purity,object_loss
00001.jpg,100,58,6.441398620605469,3.0505831241607666,11,19,3,0.36666666666666664,0.7857142857142857,11,19,3,0.36666666666666664,0.7857142857142857,0.5333333333333333,0.08,0.9523809523809523,0.0
00002.jpg,100,78,4.192517518997192,3.3829755783081055,2,0,5,1.0,0.2857142857142857,2,0,5,1.0,0.2857142857142857,0.2619047619047619,0.0,1.0,0.0
00003.jpg,100,62,6.023526430130005,4.091813325881958,1,18,6,0.05263157894736842,0.14285714285714285,1,17,6,0.05555555555555555,0.14285714285714285,0.36363636363636365,0.4117647058823529,0.631578947368421,0.0
00004.jpg,100,82,5.9596076011657715,4.9687581062316895,14,20,31,0.4117647058823529,0.3111111111111111,14,20,31,0.4117647058823529,0.3111111111111111,0.35,0.1375,0.3888888888888889,0.0
00005.jpg,100,86,7.192728519439697,6.283113718032837,9,15,9,0.375,0.5,9,15,9,0.375,0.5,0.18840579710144928,0.03225806451612903,0.9285714285714286,0.0
00006.jpg,100,44,6.071873664855957,2.896589756011963,3,10,6,0.23076923076923078,0.3333333333333333,3,10,6,0.23076923076923078,0.3333333333333333,0.65,0.5,0.4642857142857143,0.0
00007.jpg,100,64,6.17824912071228,4.405324459075928,22,15,22,0.5945945945945946,0.5,22,15,22,0.5945945945945946,0.5,0.631578947368421,0.0,1.0,0.0
00008.jpg,100,81,6.640731334686279,5.459666013717651,6,17,6,0.2608695652173913,0.5,6,17,6,0.2608695652173913,0.5,0.26666666666666666,0.075,0.8421052631578947,0.0
00009.jpg,100,58,6.151576519012451,3.803903341293335,9,10,14,0.47368421052631576,0.391304347826087,9,10,14,0.47368421052631576,0.391304347826087,0.5084745762711864,0.2926829268292683,0.7142857142857143,0.0
00010.jpg,100,85,6.198487758636475,5.4104156494140625,2,6,5,0.25,0.2857142857142857,2,6,5,0.25,0.2857142857142857,0.1323529411764706,0.1875,0.6,0.0
